date,totalrentals
2/20/2017,869
2/21/2017,1098
2/22/2017,1164
2/23/2017,802
2/24/2017,628
2/25/2017,779
2/26/2017,994
2/27/2017,1003
2/28/2017,422
3/1/2017,1148
3/2/2017,735
3/3/2017,935
3/4/2017,787
3/5/2017,767
3/6/2017,910
3/7/2017,1131
3/8/2017,1238
3/9/2017,1051
3/10/2017,947
3/11/2017,1130
3/12/2017,1219
3/13/2017,1345
3/14/2017,1452
3/15/2017,1424
3/16/2017,1007
3/17/2017,1802
3/18/2017,1355
3/19/2017,1415
3/20/2017,1401
3/21/2017,1433
3/22/2017,1580
3/23/2017,1923
3/24/2017,776
3/25/2017,1149
3/26/2017,1278
3/27/2017,1173
3/28/2017,1311
3/29/2017,1411
3/30/2017,1256
3/31/2017,1434
4/1/2017,1389
4/2/2017,1365
4/3/2017,1558
4/4/2017,1480
4/5/2017,1485
4/6/2017,1486
4/7/2017,1577
4/8/2017,1189
4/9/2017,1285
4/10/2017,1361
4/11/2017,1118
4/12/2017,1244
4/13/2017,1472
4/14/2017,1716
4/15/2017,1640
4/16/2017,1465
4/17/2017,1539
4/18/2017,1004
4/19/2017,1510
4/20/2017,1677
4/21/2017,1524
4/22/2017,236
4/23/2017,739
4/24/2017,1296
4/25/2017,1425
4/26/2017,1156
4/27/2017,1434
4/28/2017,971
4/29/2017,1450
4/30/2017,1282
5/1/2017,1320
5/2/2017,1419
5/3/2017,1477
5/4/2017,1448
5/5/2017,1583
5/6/2017,1463
5/7/2017,1443
5/8/2017,1317
5/9/2017,1085
5/10/2017,1512
5/11/2017,1617
5/12/2017,1709
5/13/2017,1407
5/14/2017,654
5/15/2017,1176
5/16/2017,1708
5/17/2017,1698
5/18/2017,1757
5/19/2017,1908
5/20/2017,1640
5/21/2017,1003
5/22/2017,1397
5/23/2017,1210
5/24/2017,1557
5/25/2017,1549
5/26/2017,1503
5/27/2017,1516
5/28/2017,1390
5/29/2017,1321
5/30/2017,1577
5/31/2017,1688
6/1/2017,949
6/2/2017,1868
6/3/2017,1757
6/4/2017,1610
6/5/2017,1610
6/6/2017,1623
6/7/2017,1724
6/8/2017,1779
6/9/2017,1725
6/10/2017,1518
6/11/2017,1533
6/12/2017,1144
6/13/2017,1707
6/14/2017,1693
6/15/2017,1763
6/16/2017,1771
6/17/2017,1605
6/18/2017,1173
6/19/2017,1570
6/20/2017,1429
6/21/2017,1358
6/22/2017,1339
6/23/2017,1715
6/24/2017,1585
6/25/2017,1559
6/26/2017,1712
6/27/2017,1687
6/28/2017,1582
6/29/2017,1256
6/30/2017,1308
7/1/2017,1272
7/2/2017,1432
7/3/2017,1532
7/4/2017,1703
7/5/2017,1435
7/6/2017,1428
7/7/2017,1113
7/8/2017,1075
7/9/2017,1511
7/10/2017,1447
7/11/2017,1671
7/12/2017,1713
7/13/2017,1725
7/14/2017,1603
7/15/2017,1387
7/16/2017,1571
7/17/2017,1561
7/18/2017,1314
7/19/2017,1516
7/20/2017,1350
7/21/2017,1026
7/22/2017,1704
7/23/2017,1602
7/24/2017,1746
7/25/2017,1880
7/26/2017,1578
7/27/2017,1588
7/28/2017,1538
7/29/2017,1517
7/30/2017,1634
7/31/2017,1660
8/1/2017,1743
8/2/2017,1670
8/3/2017,1650
8/4/2017,1570
8/5/2017,1257
8/6/2017,1613
8/7/2017,1673
8/8/2017,1733
8/9/2017,1676
8/10/2017,1331
8/11/2017,1449
8/12/2017,1505
8/13/2017,1583
8/14/2017,1560
8/15/2017,1690
8/16/2017,1749
8/17/2017,1644
8/18/2017,1809
8/19/2017,1046
8/20/2017,1502
8/21/2017,1611
8/22/2017,1696
8/23/2017,1786
8/24/2017,1744
8/25/2017,1392
8/26/2017,1209
8/27/2017,1591
8/28/2017,1619
8/29/2017,1770
8/30/2017,1774
8/31/2017,1691
9/1/2017,1412
9/2/2017,1336
9/3/2017,1388
9/4/2017,1579
9/5/2017,1636
9/6/2017,1427
9/7/2017,1726
9/8/2017,1374
9/9/2017,1892
9/10/2017,1731
9/11/2017,1786
9/12/2017,1810
9/13/2017,1795
9/14/2017,1842
9/15/2017,2004
9/16/2017,1687
9/17/2017,1580
9/18/2017,937
9/19/2017,1746
9/20/2017,1776
9/21/2017,1878
9/22/2017,1931
9/23/2017,1819
9/24/2017,1710
9/25/2017,1734
9/26/2017,1779
9/27/2017,1700
9/28/2017,1705
9/29/2017,1968
9/30/2017,1584
10/1/2017,1559
10/2/2017,1067
10/3/2017,1742
10/4/2017,1685
10/5/2017,1876
10/6/2017,1832
10/7/2017,807
10/8/2017,1260
10/9/2017,1470
10/10/2017,1769
10/11/2017,1741
10/12/2017,1675
10/13/2017,1635
10/14/2017,1527
10/15/2017,1351
10/16/2017,1733
10/17/2017,1716
10/18/2017,1727
10/19/2017,1248
10/20/2017,1861
10/21/2017,1570
10/22/2017,1623
10/23/2017,1717
10/24/2017,1769
10/25/2017,1693
10/26/2017,1712
10/27/2017,1806
10/28/2017,1026
10/29/2017,5
10/30/2017,252
10/31/2017,1280
11/1/2017,1377
11/2/2017,1345
11/3/2017,1182
11/4/2017,1175
11/5/2017,1210
11/6/2017,1308
11/7/2017,1158
11/8/2017,1222
11/9/2017,1378
11/10/2017,1503
11/11/2017,1576
11/12/2017,1442
11/13/2017,942
11/14/2017,1264
11/15/2017,1252
11/16/2017,1311
11/17/2017,1295
11/18/2017,1074
11/19/2017,1265
11/20/2017,1296
11/21/2017,1184
11/22/2017,558
11/23/2017,899
11/24/2017,524
11/25/2017,558
11/26/2017,1170
11/27/2017,911
11/28/2017,1210
11/29/2017,1224
11/30/2017,1304
12/1/2017,1194
12/2/2017,1069
12/3/2017,1434
12/4/2017,1519
12/5/2017,1318
12/6/2017,1236
12/7/2017,1152
12/8/2017,1284
12/9/2017,742
12/10/2017,1189
12/11/2017,1265
12/12/2017,1223
12/13/2017,1272
12/14/2017,1291
12/15/2017,1161
12/16/2017,871
12/17/2017,1055
12/18/2017,1278
12/19/2017,1211
12/20/2017,949
12/21/2017,833
12/22/2017,402
12/23/2017,411
12/24/2017,212
12/25/2017,233
12/26/2017,101
12/27/2017,486
12/28/2017,712
12/29/2017,308
12/30/2017,413
12/31/2017,628
